StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
1,8.241758241758243,1,1,1,65,4.4,No,No,61,79,NotPlaced
2,9.780219780219781,0,3,2,90,4.0,Yes,Yes,78,82,Placed
3,8.021978021978022,1,2,2,82,4.8,Yes,No,79,80,Placed
4,8.241758241758243,1,1,2,85,4.4,Yes,Yes,81,80,Placed
5,9.120879120879122,1,2,2,86,4.5,Yes,Yes,74,88,Placed
6,7.692307692307693,0,2,2,71,4.2,Yes,No,55,66,NotPlaced
7,8.461538461538462,1,1,1,76,4.0,No,No,62,65,NotPlaced
8,8.461538461538462,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced
9,7.142857142857143,1,1,0,84,3.9,No,Yes,75,71,Placed
10,8.571428571428571,1,3,2,79,4.4,Yes,Yes,85,86,Placed
11,9.120879120879122,2,3,2,90,4.8,Yes,Yes,82,88,Placed
12,8.681318681318682,1,3,2,90,4.8,Yes,Yes,71,87,Placed
13,9.120879120879122,2,3,2,90,4.5,Yes,Yes,84,83,Placed
14,8.461538461538462,1,1,1,74,4.6,No,Yes,63,73,NotPlaced
15,8.241758241758243,1,1,1,66,4.1,No,No,61,66,NotPlaced
16,8.131868131868133,0,2,1,78,4.4,No,No,63,66,NotPlaced
17,9.45054945054945,0,3,0,84,4.8,Yes,Yes,62,78,Placed
18,9.010989010989011,2,3,2,90,4.7,Yes,Yes,84,86,Placed
19,7.472527472527473,2,3,0,73,4.4,Yes,Yes,72,82,Placed
20,8.131868131868133,1,2,0,70,4.4,No,Yes,58,63,NotPlaced
21,8.351648351648352,2,1,0,84,4.4,No,Yes,77,75,Placed
22,8.131868131868133,1,2,1,72,3.5,No,Yes,82,69,Placed
23,8.461538461538462,0,1,0,77,3.4,No,Yes,55,72,Placed
24,8.131868131868133,1,1,0,60,3.8,No,No,55,71,NotPlaced
25,8.131868131868133,1,2,1,90,4.3,No,Yes,56,69,NotPlaced
26,7.362637362637363,1,1,1,70,4.0,No,No,68,57,NotPlaced
27,8.131868131868133,2,3,2,78,4.3,Yes,Yes,76,82,Placed
28,9.120879120879122,1,1,1,81,4.5,Yes,Yes,64,65,Placed
29,8.241758241758243,1,2,1,84,4.4,No,No,66,73,NotPlaced
30,7.692307692307693,0,1,1,63,3.9,No,Yes,60,61,NotPlaced
31,9.230769230769232,2,3,2,90,4.6,Yes,Yes,55,80,Placed
32,8.131868131868133,1,2,1,76,4.7,No,Yes,66,69,NotPlaced
33,9.340659340659341,1,3,0,90,4.8,Yes,Yes,85,85,Placed
34,9.45054945054945,1,2,2,75,4.3,Yes,Yes,62,80,Placed
35,7.582417582417583,0,1,0,70,3.9,No,Yes,79,68,Placed
36,8.571428571428571,1,1,1,67,4.3,No,No,65,73,NotPlaced
37,9.120879120879122,1,2,2,89,4.8,Yes,Yes,75,81,Placed
38,9.010989010989011,1,2,2,77,4.2,No,Yes,72,72,Placed
39,9.340659340659341,2,3,3,90,4.7,Yes,Yes,79,86,Placed
40,7.362637362637363,0,3,2,88,4.2,Yes,Yes,72,86,Placed
41,9.45054945054945,2,3,1,90,4.8,Yes,Yes,63,84,Placed
42,9.120879120879122,2,3,2,85,4.8,Yes,Yes,77,83,Placed
43,7.362637362637363,0,1,1,72,4.4,No,No,55,60,NotPlaced
44,9.45054945054945,2,3,2,88,4.7,Yes,Yes,80,87,Placed
45,8.131868131868133,1,3,0,86,4.8,No,Yes,70,73,Placed
46,7.362637362637363,1,1,2,73,4.5,No,No,55,66,Placed
47,7.582417582417583,1,1,1,76,4.4,No,No,55,65,NotPlaced
48,7.692307692307693,1,1,0,62,4.3,No,Yes,59,67,NotPlaced
49,8.901098901098901,1,3,2,90,4.6,Yes,Yes,77,87,Placed
50,8.461538461538462,1,2,0,74,3.8,Yes,No,55,66,NotPlaced
51,7.142857142857143,0,2,1,77,4.8,No,Yes,56,65,NotPlaced
52,9.010989010989011,1,3,0,65,4.1,Yes,No,66,65,Placed
53,8.901098901098901,2,3,2,90,4.7,Yes,Yes,82,82,Placed
54,7.142857142857143,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced
55,7.142857142857143,0,2,1,72,4.5,No,No,57,69,NotPlaced
56,9.670329670329672,2,3,2,90,4.8,Yes,Yes,86,88,Placed
57,8.791208791208792,1,1,0,74,4.5,Yes,Yes,55,65,Placed
58,9.230769230769232,2,2,2,81,4.6,Yes,Yes,77,82,Placed
59,8.791208791208792,1,1,0,86,4.2,No,No,55,83,Placed
60,7.252747252747253,0,1,0,76,3.9,No,Yes,78,69,Placed
61,8.461538461538462,2,2,0,86,4.0,Yes,Yes,79,64,NotPlaced
62,9.010989010989011,1,2,1,86,4.3,Yes,Yes,86,63,Placed
63,7.912087912087913,1,2,0,74,4.1,No,No,70,65,NotPlaced
64,7.252747252747253,1,2,1,72,4.1,No,No,55,75,NotPlaced
65,8.351648351648352,1,2,0,77,4.6,Yes,No,84,67,NotPlaced
66,8.791208791208792,0,3,0,68,4.2,Yes,No,64,83,Placed
67,8.571428571428571,2,3,2,87,4.8,Yes,No,90,83,Placed
68,7.912087912087913,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced
69,8.461538461538462,1,1,0,74,4.1,No,Yes,57,68,Placed
70,9.230769230769232,1,1,2,67,3.8,Yes,Yes,76,69,Placed
71,8.241758241758243,1,1,1,69,4.3,No,Yes,71,76,Placed
72,7.362637362637363,0,2,1,79,4.1,No,No,78,67,NotPlaced
73,8.901098901098901,2,3,2,90,4.8,Yes,Yes,80,86,Placed
74,8.241758241758243,1,2,0,73,4.4,No,No,66,84,NotPlaced
75,8.131868131868133,2,1,0,75,4.2,No,Yes,65,84,NotPlaced
76,7.142857142857143,1,1,0,63,4.5,No,Yes,57,68,NotPlaced
77,8.901098901098901,1,3,1,90,4.6,Yes,Yes,73,86,Placed
78,7.582417582417583,1,1,0,83,3.5,No,Yes,61,71,NotPlaced
79,9.010989010989011,1,3,0,83,4.8,Yes,Yes,71,84,Placed
80,8.351648351648352,1,2,1,72,3.9,No,Yes,58,66,NotPlaced
81,7.252747252747253,1,1,1,69,3.6,No,Yes,55,72,NotPlaced
82,7.362637362637363,1,2,1,74,4.8,Yes,Yes,72,64,Placed
83,9.010989010989011,2,3,2,76,4.5,Yes,Yes,73,82,Placed
84,9.120879120879122,2,3,1,90,4.2,Yes,Yes,82,83,Placed
85,8.351648351648352,0,2,0,86,4.8,Yes,Yes,57,72,Placed
86,7.362637362637363,1,3,0,87,4.6,Yes,No,81,69,NotPlaced
87,8.901098901098901,0,2,1,84,3.8,No,No,71,68,Placed
88,9.340659340659341,1,2,2,79,3.9,Yes,Yes,76,66,Placed
89,9.670329670329672,1,3,0,76,4.7,Yes,Yes,75,84,Placed
90,7.912087912087913,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced
91,8.351648351648352,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced
92,7.802197802197803,1,1,0,70,3.3,No,No,55,66,NotPlaced
93,8.901098901098901,1,3,2,89,4.6,Yes,Yes,86,80,Placed
94,8.131868131868133,1,3,0,83,4.2,No,Yes,65,82,NotPlaced
95,8.461538461538462,2,2,2,85,4.8,Yes,Yes,74,83,Placed
96,8.241758241758243,0,1,1,75,3.3,No,Yes,61,73,NotPlaced
97,8.241758241758243,1,1,0,64,4.0,No,No,73,66,NotPlaced
98,8.571428571428571,2,2,2,90,4.8,Yes,No,81,82,Placed
99,8.461538461538462,1,3,1,89,4.6,No,Yes,61,84,Placed
100,8.681318681318682,0,1,2,83,4.8,Yes,No,58,81,Placed
101,8.131868131868133,1,2,1,63,3.9,No,No,55,67,NotPlaced
102,8.021978021978022,1,1,0,80,4.7,No,Yes,64,65,NotPlaced
103,7.142857142857143,1,1,1,62,3.8,No,Yes,58,65,NotPlaced
104,8.241758241758243,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced
105,7.142857142857143,1,1,0,68,4.1,No,No,61,66,NotPlaced
